Requirement,AC,Test Case,Test Type,Priority,Test File
FR-001,AC-001-01,FO-01: writeFiles writes single file with correct content,positive,P0,file-ops.test.js
FR-001,AC-001-01,FO-02: writeFiles writes batch of 5 files all succeed,positive,P0,file-ops.test.js
FR-001,AC-001-01,FO-09: writeFiles rejects relative paths,negative,P0,file-ops.test.js
FR-001,AC-001-01,FO-10: writeFiles rejects empty files array,negative,P0,file-ops.test.js
FR-001,AC-001-01,FO-11: writeFiles rejects null content,negative,P1,file-ops.test.js
FR-001,AC-001-01,SV-01: Server registers write_files tool,positive,P0,server.test.js
FR-001,AC-001-01,SV-05: Server routes write_files to fileOps,positive,P0,server.test.js
FR-001,AC-001-01,INT-08: writeFiles 10 files mix new and overwrite,positive,P1,integration/file-ops-locking.test.js
FR-001,AC-001-01,INT-15: Full write_files MCP flow,positive,P0,integration/server-e2e.test.js
FR-001,AC-001-02,FO-06: Atomic write temp file in same directory,positive,P0,file-ops.test.js
FR-001,AC-001-02,FO-07: Atomic write temp file naming convention,positive,P1,file-ops.test.js
FR-001,AC-001-03,FO-08: Overwrite preserves atomicity,positive,P0,file-ops.test.js
FR-001,AC-001-03,FO-13: Partial batch failure does not abort others,negative,P0,file-ops.test.js
FR-001,AC-001-03,INT-06: Crashed write leaves original intact,positive,P0,integration/file-ops-locking.test.js
FR-001,AC-001-04,FO-04: Response includes per-file status,positive,P0,file-ops.test.js
FR-001,AC-001-05,FO-03: writeFiles creates parent directories automatically,positive,P1,file-ops.test.js
FR-001,AC-001-06,INT-01: Concurrent writeFiles to same path serialize,positive,P0,integration/file-ops-locking.test.js
FR-002,AC-002-01,FO-14: readFiles reads single file returns content,positive,P0,file-ops.test.js
FR-002,AC-002-01,FO-15: readFiles reads batch of 5 files concurrently,positive,P0,file-ops.test.js
FR-002,AC-002-01,FO-19: readFiles rejects relative paths,negative,P0,file-ops.test.js
FR-002,AC-002-01,FO-20: readFiles rejects empty paths array,negative,P0,file-ops.test.js
FR-002,AC-002-01,SV-02: Server registers read_files tool,positive,P0,server.test.js
FR-002,AC-002-01,SV-06: Server routes read_files to fileOps,positive,P0,server.test.js
FR-002,AC-002-01,INT-16: Full read_files MCP flow,positive,P0,integration/server-e2e.test.js
FR-002,AC-002-02,FO-18: Missing file returns per-file error others still read,negative,P0,file-ops.test.js
FR-002,AC-002-02,INT-20: Batch read mixed existing/missing files,negative,P1,integration/server-e2e.test.js
