Requirement ID,Requirement Description,Test Case ID,Test Case Description,Verification Check,Priority,Status
FR-001,Extract Monorepo Mode Protocol to CLAUDE.md,TC-005,CLAUDE.md contains monorepo full delegation form,V-003,P0,Designed
FR-001,Extract Monorepo Mode Protocol to CLAUDE.md,TC-006,CLAUDE.md contains monorepo analysis-scoped form,V-003,P0,Designed
FR-001,Extract Monorepo Mode Protocol to CLAUDE.md,TC-013,CLAUDE.md section order matches FR-012 spec,V-005,P1,Designed
FR-002,Remove monorepo from 17 phase agents,TC-020,No agent file contains full delegation monorepo blockquote,V-002,P0,Designed
FR-002,Remove monorepo from 17 phase agents,TC-022,17+ agents contain full-form Monorepo Mode Protocol reference,V-002,P0,Designed
FR-003,Remove monorepo from 7 analysis sub-agents,TC-021,No agent file contains short analysis monorepo blockquote,V-002,P0,Designed
FR-003,Remove monorepo from 7 analysis sub-agents,TC-023,7 agents contain analysis-scoped reference,V-002,P0,Designed
FR-004,Remove monorepo from 2 remaining agents,TC-020,No agent file contains full delegation monorepo blockquote,V-002,P0,Designed
FR-004,Remove monorepo from 2 remaining agents,TC-024,quick-scan-agent contains reference,V-002,P1,Designed
FR-004,Remove monorepo from 2 remaining agents,TC-025,impact-analysis-orchestrator contains reference,V-002,P1,Designed
FR-005,Extract Iteration Enforcement Protocol to CLAUDE.md,TC-007,CLAUDE.md contains iteration enforcement core rules,V-003,P0,Designed
FR-005,Extract Iteration Enforcement Protocol to CLAUDE.md,TC-008,CLAUDE.md contains test-watcher hook reference,V-003,P0,Designed
FR-005,Extract Iteration Enforcement Protocol to CLAUDE.md,TC-009,CLAUDE.md contains iteration config hierarchy,V-003,P1,Designed
FR-005,Extract Iteration Enforcement Protocol to CLAUDE.md,TC-010,CLAUDE.md iteration section has NO agent-specific criteria,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-030,No agent file contains full iteration enforcement never-declare-while-failing,V-002,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-031,No agent file contains never-declare-while-incomplete,V-002,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-032,7 agents contain Mandatory Iteration Enforcement Protocol reference,V-002,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-033,05-software-developer retains >=80% COVERAGE criteria,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-034,06-integration-tester retains ALL TESTS PASS criteria,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-035,14-upgrade-engineer retains circuit breaker: 3,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-036,discover/artifact-integration retains max iterations 5,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-037,discover/atdd-bridge retains max iterations 5,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-038,16-quality-loop-engineer retains BOTH tracks pass,V-003,P0,Designed
FR-006,Replace iteration in 7 agents with reference + customization,TC-039,characterization-test-generator retains CHARACTERIZATION TESTS,V-003,P0,Designed
