Requirement,AC,Test Case,Test Type,Priority,Module
FR-001,AC-001-01,HS-001,positive,Must Have,memory-search.js
FR-001,AC-001-01,HS-002,positive,Must Have,memory-search.js
FR-001,AC-001-01,HS-011,positive,Must Have,memory-search.js
FR-001,AC-001-01,HS-026,positive,Must Have,memory-search.js
FR-001,AC-001-01,HS-027,positive,Must Have,memory-search.js
FR-001,AC-001-01,INT-001,positive,Must Have,integration
FR-001,AC-001-02,HS-003,positive,Must Have,memory-search.js
FR-001,AC-001-02,HS-004,negative,Must Have,memory-search.js
FR-001,AC-001-02,PT-001,positive,Must Have,performance
FR-001,AC-001-02,INT-018,positive,Must Have,integration
FR-001,AC-001-03,HS-005,positive,Must Have,memory-search.js
FR-001,AC-001-03,HS-006,positive,Must Have,memory-search.js
FR-001,AC-001-03,HS-007,positive,Must Have,memory-search.js
FR-001,AC-001-04,HS-008,negative,Must Have,memory-search.js
FR-001,AC-001-04,HS-009,negative,Must Have,memory-search.js
FR-001,AC-001-04,HS-030,positive,Must Have,memory-search.js
FR-001,AC-001-04,HS-032,negative,Must Have,memory-search.js
FR-001,AC-001-04,INT-002,negative,Must Have,integration
FR-001,AC-001-04,INT-016,negative,Must Have,integration
FR-001,AC-001-05,HS-010,positive,Must Have,memory-search.js
FR-001,AC-001-05,INT-003,positive,Must Have,integration
FR-002,AC-002-01,ME-049,positive,Must Have,memory-embedder.js
FR-002,AC-002-01,PT-003,positive,Must Have,performance
FR-002,AC-002-01,INT-007,positive,Must Have,integration
FR-002,AC-002-02,HS-012,positive,Must Have,memory-search.js
FR-002,AC-002-02,HS-015,positive,Must Have,memory-search.js
FR-002,AC-002-02,HS-016,positive,Must Have,memory-search.js
FR-002,AC-002-02,HS-025,positive,Must Have,memory-search.js
FR-002,AC-002-02,INT-001,positive,Must Have,integration
FR-002,AC-002-03,HS-013,negative,Must Have,memory-search.js
FR-002,AC-002-03,HS-014,negative,Must Have,memory-search.js
FR-002,AC-002-03,HS-031,positive,Must Have,memory-search.js
FR-002,AC-002-04,ME-050,positive,Must Have,memory-embedder.js
FR-002,AC-002-04,ME-051,positive,Must Have,memory-embedder.js
FR-002,AC-002-05,ME-052,negative,Must Have,memory-embedder.js
FR-002,AC-002-05,INT-008,negative,Must Have,integration
FR-003,AC-003-01,MSA-046,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-01,MSA-053,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-01,MSA-055,negative,Must Have,memory-store-adapter.js
FR-003,AC-003-01,MSA-056,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-01,MSA-057,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-02,MSA-058,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-03,MSA-054,negative,Must Have,memory-store-adapter.js
FR-003,AC-003-04,MSA-043,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-04,MSA-044,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-04,MSA-045,positive,Must Have,memory-store-adapter.js
FR-003,AC-003-04,INT-014,positive,Must Have,integration
FR-003,AC-003-04,INT-015,positive,Must Have,integration
FR-004,AC-004-01,MEM-076,positive,Must Have,memory.js
FR-004,AC-004-01,MEM-077,positive,Must Have,memory.js
FR-004,AC-004-01,MEM-078,positive,Must Have,memory.js
FR-004,AC-004-01,MEM-079,positive,Must Have,memory.js
FR-004,AC-004-01,MEM-081,negative,Must Have,memory.js
FR-004,AC-004-02,ME-037,positive,Must Have,memory-embedder.js
FR-004,AC-004-02,ME-038,positive,Must Have,memory-embedder.js
FR-004,AC-004-02,ME-039,positive,Must Have,memory-embedder.js
FR-004,AC-004-02,INT-005,positive,Must Have,integration
FR-004,AC-004-03,ME-040,positive,Must Have,memory-embedder.js
FR-004,AC-004-03,ME-041,positive,Must Have,memory-embedder.js
FR-004,AC-004-04,ME-042,positive,Must Have,memory-embedder.js
FR-004,AC-004-04,ME-043,positive,Must Have,memory-embedder.js
FR-004,AC-004-04,MEM-080,positive,Must Have,memory.js
