requirement,type,priority,covered_by_tasks,validated_in_phase
FR-001,functional,P0,T001|T005|T006|T007,06|16
FR-002,functional,P0,T001|T006|T007,06|16
FR-003,functional,P0,T002|T004|T008|T015,06|16
FR-004,functional,P0,T002|T004,06
FR-005,functional,P0,T001|T005|T006|T016,06|16
FR-006,functional,P0,T003|T009|T013,06
FR-007,functional,P0,T003|T010|T011|T012,06
FR-008,functional,P0,T003|T010,06
FR-009,functional,P0,T008,06
FR-010,functional,P0,T003|T013|T014|T020,06|08
NFR-001,non-functional,P0,T008|T018,16
NFR-002,non-functional,P0,T018,16
NFR-003,non-functional,P1,T002|T004|T015,06|16
NFR-004,non-functional,P1,T010|T018,16
NFR-005,non-functional,P2,T001|T005|T016,06
NFR-006,non-functional,P0,T003|T010|T011,06
NFR-007,non-functional,P0,T017|T019,16|08
