Requirement ID,User Story ID,Epic,Priority,Status,Source
FR-001,US-001;US-002,Build Init Decoupling,Must Have,Draft,GH-60
FR-002,US-001;US-003,Build Init Decoupling,Must Have,Draft,GH-60
FR-003,US-004,Build Init Decoupling,Must Have,Draft,GH-60
FR-004,US-005;US-006,Smart Staleness Detection,Must Have,Draft,GH-61
FR-005,US-005,Smart Staleness Detection,Must Have,Draft,GH-61
FR-006,US-006;US-007,Smart Staleness Detection,Must Have,Draft,GH-61
FR-007,US-001,Build Init Decoupling,Must Have,Draft,GH-60
NFR-001,US-004,Build Init Decoupling,Must Have,Draft,GH-60
NFR-002,US-005,Smart Staleness Detection,Should Have,Draft,GH-61
NFR-003,US-007,Smart Staleness Detection,Must Have,Draft,GH-61
NFR-004,US-005,Smart Staleness Detection,Must Have,Draft,GH-60;GH-61
NFR-005,US-003,Build Init Decoupling,Should Have,Draft,GH-60
