Requirement,User Story,Acceptance Criteria,Priority,Status
FR-001,US-001,"AC-001-01,AC-001-02,AC-001-03,AC-001-04,AC-001-05,AC-001-06,AC-001-07,AC-001-08",P0,Specified
FR-002,US-002,"AC-002-01,AC-002-02,AC-002-03,AC-002-04,AC-002-05,AC-002-06,AC-002-07,AC-002-08",P0,Specified
FR-003,US-003,"AC-003-01,AC-003-02,AC-003-03,AC-003-04,AC-003-05",P0,Specified
FR-004,US-004,"AC-004-01,AC-004-02",P1,Specified
FR-005,US-003,"AC-005-01,AC-005-02,AC-005-03,AC-005-04",P0,Specified
FR-006,US-005,"AC-006-01,AC-006-02,AC-006-03",P0,Specified
FR-007,US-006,"AC-007-01,AC-007-02,AC-007-03",P0,Specified
NFR-001,-,-,P0,Specified
NFR-002,-,-,P0,Specified
NFR-003,-,-,P0,Specified
NFR-004,-,-,P0,Specified
